fecha,producto_id,nombre,categoria,subcategoria,precio_base,es_estrella,unidades_vendidas,ingresos,año,mes,día_mes,día_semana,día_semana_num,es_fin_semana,es_lunes,es_viernes,es_sabado,es_domingo,es_festivo,nombre_festivo,es_black_friday,es_cyber_monday,es_temporada_navidad,es_inicio_año,es_verano,es_cuarentena_pascua,num_semana,trimestre,día_año,días_hasta_fin_año,mes_tiene_31_dias,día_en_mes,es_fin_mes,es_inicio_mes,lag_1_unidades_vendidas,lag_2_unidades_vendidas,lag_3_unidades_vendidas,lag_4_unidades_vendidas,lag_5_unidades_vendidas,lag_6_unidades_vendidas,lag_7_unidades_vendidas,media_movil_7_unidades_vendidas,descuento_porcentaje,ratio_precio
2021-11-01,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,7,805.49,2021,11,1,Monday,0,False,True,False,False,False,True,Todos los Santos,False,False,True,False,False,False,44,4,305,60,False,1,False,True,9.0,12.0,12.0,7.0,8.0,8.0,6.0,8.857142857142858,-0.06086956521738537,1.2067748024889882
2021-11-02,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,1161.0,2021,11,2,Tuesday,1,False,False,False,False,False,False,,False,False,True,False,False,False,44,4,306,59,False,2,False,True,7.0,9.0,12.0,12.0,7.0,8.0,8.0,9.0,-0.9565217391304299,1.207446439714345
2021-11-03,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,1260.38,2021,11,3,Wednesday,2,False,False,False,False,False,False,,False,False,True,False,False,False,44,4,307,58,False,3,False,True,10.0,7.0,9.0,12.0,12.0,7.0,8.0,9.285714285714286,0.3652173913043493,1.2030659386812261
2021-11-04,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,12,1346.76,2021,11,4,Thursday,3,False,False,False,False,False,False,,False,False,True,False,False,False,44,4,308,57,False,4,False,False,11.0,10.0,7.0,9.0,12.0,12.0,7.0,9.714285714285714,2.40869565217391,1.1619215239672847
2021-11-05,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,1138.1,2021,11,5,Friday,4,False,False,True,False,False,False,,False,False,True,False,False,False,44,4,309,56,False,5,False,False,12.0,11.0,10.0,7.0,9.0,12.0,12.0,10.428571428571429,1.0347826086956502,1.1834251845689925
2021-11-06,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,1178.0,2021,11,6,Saturday,5,True,False,False,True,False,False,,False,False,True,False,False,False,44,4,310,55,False,6,False,False,10.0,12.0,11.0,10.0,7.0,9.0,12.0,10.142857142857142,-2.4347826086956497,1.234326429394712
2021-11-07,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,1160.4,2021,11,7,Sunday,6,True,False,False,False,True,False,,False,False,True,False,False,False,44,4,311,54,False,7,False,False,10.0,10.0,12.0,11.0,10.0,7.0,9.0,9.857142857142858,-0.904347826086962,1.2068224363863276
2021-11-08,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,9,1021.14,2021,11,8,Monday,0,False,True,False,False,False,False,,False,False,True,False,False,False,45,4,312,53,False,8,False,False,10.0,10.0,10.0,12.0,11.0,10.0,7.0,10.0,1.339130434782614,1.1696505274732827
2021-11-09,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,1253.78,2021,11,9,Tuesday,1,False,False,False,False,False,False,,False,False,True,False,False,False,45,4,313,52,False,9,False,False,9.0,10.0,10.0,10.0,12.0,11.0,10.0,10.285714285714286,0.886956521739127,1.1758596973865199
2021-11-10,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,1175.7,2021,11,10,Wednesday,2,False,False,False,False,False,False,,False,False,True,False,False,False,45,4,314,51,False,10,False,False,11.0,9.0,10.0,10.0,10.0,12.0,11.0,10.428571428571429,-2.2347826086956464,1.220323149846037
2021-11-11,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,1181.1,2021,11,11,Thursday,3,False,False,False,False,False,False,,False,False,True,False,False,False,45,4,315,50,False,11,False,False,10.0,11.0,9.0,10.0,10.0,10.0,12.0,10.285714285714286,-2.704347826086956,1.2223333793293776
2021-11-12,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,1235.74,2021,11,12,Friday,4,False,False,True,False,False,False,,False,False,True,False,False,False,45,4,316,49,False,12,False,False,10.0,10.0,11.0,9.0,10.0,10.0,10.0,10.0,2.313043478260867,1.1795464090718184
2021-11-13,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,17,1939.87,2021,11,13,Saturday,5,True,False,False,True,False,False,,False,False,True,False,False,False,45,4,317,48,False,13,False,False,11.0,10.0,10.0,11.0,9.0,10.0,10.0,10.142857142857142,0.7739130434782614,1.175785677485832
2021-11-14,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,9,1051.29,2021,11,14,Sunday,6,True,False,False,False,True,False,,False,False,True,False,False,False,45,4,318,47,False,14,False,False,17.0,11.0,10.0,10.0,11.0,9.0,10.0,11.142857142857142,-1.5739130434782627,1.2046407700240633
2021-11-15,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,12,1380.96,2021,11,15,Monday,0,False,True,False,False,False,False,,False,False,True,False,False,False,46,4,319,46,False,15,False,False,9.0,17.0,11.0,10.0,10.0,11.0,9.0,11.0,-0.06956521739130286,1.2054890184713154
2021-11-16,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,1253.56,2021,11,16,Tuesday,1,False,False,False,False,False,False,,False,False,True,False,False,False,46,4,320,45,False,16,False,False,12.0,9.0,17.0,11.0,10.0,10.0,11.0,11.428571428571429,0.904347826086962,1.1977717829240093
2021-11-17,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,1135.1,2021,11,17,Wednesday,2,False,False,False,False,False,False,,False,False,True,False,False,False,46,4,321,44,False,17,False,False,11.0,12.0,9.0,17.0,11.0,10.0,10.0,11.428571428571429,1.295652173913039,1.1818623537986326
2021-11-18,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,9,1017.09,2021,11,18,Thursday,3,False,False,False,False,False,False,,False,False,True,False,False,False,46,4,322,43,False,18,False,False,10.0,11.0,12.0,9.0,17.0,11.0,10.0,11.428571428571429,1.7304347826086912,1.1609423689346987
2021-11-19,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,14,1563.38,2021,11,19,Friday,4,False,False,True,False,False,False,,False,False,True,False,False,False,46,4,323,42,False,19,False,False,9.0,10.0,11.0,12.0,9.0,17.0,11.0,11.285714285714286,2.895652173913042,1.1485925875132854
2021-11-20,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,13,1497.6,2021,11,20,Saturday,5,True,False,False,True,False,False,,False,False,True,False,False,False,46,4,324,41,False,20,False,False,14.0,9.0,10.0,11.0,12.0,9.0,17.0,11.714285714285714,-0.17391304347826333,1.2077581687925913
2021-11-21,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,10,1159.3,2021,11,21,Sunday,6,True,False,False,False,True,False,,False,False,True,False,False,False,46,4,325,40,False,21,False,False,13.0,14.0,9.0,10.0,11.0,12.0,9.0,11.142857142857142,-0.8086956521739189,1.2085273472791718
2021-11-22,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,11,1264.78,2021,11,22,Monday,0,False,True,False,False,False,False,,False,False,True,False,False,False,47,4,326,39,False,22,False,False,10.0,13.0,14.0,9.0,10.0,11.0,12.0,11.285714285714286,0.017391304347822628,1.2130398086932057
2021-11-23,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,12,1345.08,2021,11,23,Tuesday,1,False,False,False,False,False,False,,False,False,True,False,False,False,47,4,327,38,False,23,False,False,11.0,10.0,13.0,14.0,9.0,10.0,11.0,11.142857142857142,2.5304347826086926,1.2549261083743843
2021-11-24,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,14,1566.74,2021,11,24,Wednesday,2,False,False,False,False,False,False,,False,False,True,False,False,False,47,4,328,37,False,24,False,False,12.0,11.0,10.0,13.0,14.0,9.0,10.0,11.285714285714286,2.6869565217391336,1.272090027280994
2021-11-25,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,14,1572.62,2021,11,25,Thursday,3,False,False,False,False,False,False,,False,False,True,False,False,False,47,4,329,36,False,25,False,False,14.0,12.0,11.0,10.0,13.0,14.0,9.0,11.857142857142858,2.3217391304347843,1.2444698844122752
2021-11-26,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,44,4301.0,2021,11,26,Friday,4,False,False,True,False,False,False,,True,False,True,False,False,False,47,4,330,35,False,26,False,False,14.0,14.0,12.0,11.0,10.0,13.0,14.0,12.571428571428571,15.0,1.051687811001031
2021-11-27,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,49,4958.8,2021,11,27,Saturday,5,True,False,False,True,False,False,,False,False,True,False,False,False,47,4,331,34,False,27,False,False,44.0,14.0,14.0,12.0,11.0,10.0,13.0,16.857142857142858,11.999999999999998,1.0401267611665455
